▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3465
- Network:       http://192.168.30.129:3465
✓ Ready in 1122ms

○ Compiling /[module] ...
 GET /dashboard 200 in 3.4s (next.js: 2.1s, generate-params: 2.1s, application-code: 1345ms)
 GET /staffpay?section=export 200 in 314ms (next.js: 32ms, generate-params: 19ms, application-code: 282ms)
 GET /staffpay?section=reconciliation 200 in 1415ms (next.js: 14ms, generate-params: 55µs, application-code: 1401ms)
 GET /staffpay?section=reconciliation 200 in 310ms (next.js: 24ms, generate-params: 17ms, application-code: 285ms)
 GET /staffpay?section=reconciliation 200 in 674ms (next.js: 8ms, generate-params: 76µs, application-code: 666ms)
 GET /staffpay?section=adjustments 200 in 471ms (next.js: 30ms, generate-params: 17ms, application-code: 440ms)
 GET /staffpay?section=adjustments 200 in 1490ms (next.js: 303ms, generate-params: 18ms, application-code: 1187ms)
 GET /staffpay?section=adjustments 500 in 4.9s (next.js: 4.7s, generate-params: 117µs, application-code: 190ms)
 GET /staffpay?section=adjustments 200 in 2.5s (next.js: 100ms, generate-params: 47ms, application-code: 2.4s)
 GET /dashboard 200 in 935ms (next.js: 25ms, generate-params: 14ms, application-code: 910ms)
 GET /dashboard 200 in 1650ms (next.js: 14ms, generate-params: 54µs, application-code: 1636ms)
 GET /action-inbox 200 in 439ms (next.js: 35ms, generate-params: 25ms, application-code: 404ms)
 GET /action-inbox 200 in 391ms (next.js: 26ms, generate-params: 19ms, application-code: 364ms)
 GET /settings 200 in 417ms (next.js: 25ms, generate-params: 18ms, application-code: 392ms)
 GET /settings 200 in 943ms (next.js: 13ms, generate-params: 63µs, application-code: 930ms)
 GET /staff-doctors 200 in 794ms (next.js: 23ms, generate-params: 16ms, application-code: 771ms)
 GET /staff-doctors 200 in 501ms (next.js: 12ms, generate-params: 92µs, application-code: 489ms)
 GET /staff-doctors?section=people 200 in 424ms (next.js: 21ms, generate-params: 15ms, application-code: 402ms)
 GET /staff-doctors?section=people 200 in 646ms (next.js: 15ms, generate-params: 58µs, application-code: 632ms)
 GET /staff-doctors?section=credentials 200 in 252ms (next.js: 27ms, generate-params: 16ms, application-code: 225ms)
 GET /staff-doctors?section=credentials 200 in 256ms (next.js: 12ms, generate-params: 53µs, application-code: 244ms)
 GET /roster 200 in 695ms (next.js: 31ms, generate-params: 19ms, application-code: 665ms)
 GET /roster 200 in 239ms (next.js: 21ms, generate-params: 16ms, application-code: 218ms)
 GET /roster 200 in 405ms (next.js: 12ms, generate-params: 115µs, application-code: 392ms)
 GET /roster?section=coverage 200 in 281ms (next.js: 6ms, generate-params: 55µs, application-code: 275ms)
 GET /roster?section=coverage 200 in 675ms (next.js: 25ms, generate-params: 14ms, application-code: 651ms)
 GET /roster?section=open-shifts 200 in 305ms (next.js: 9ms, generate-params: 40µs, application-code: 296ms)
 GET /roster?section=open-shifts 200 in 472ms (next.js: 37ms, generate-params: 24ms, application-code: 435ms)
 GET /time-attendance 200 in 216ms (next.js: 11ms, generate-params: 98µs, application-code: 205ms)
 GET /time-attendance 200 in 418ms (next.js: 25ms, generate-params: 14ms, application-code: 393ms)
 GET /time-attendance?section=timesheets 200 in 969ms (next.js: 13ms, generate-params: 66µs, application-code: 956ms)
 GET /time-attendance?section=timesheets 200 in 507ms (next.js: 18ms, generate-params: 14ms, application-code: 489ms)
 GET /time-attendance?section=approvals 200 in 1121ms (next.js: 12ms, generate-params: 87µs, application-code: 1109ms)
 GET /time-attendance?section=approvals 200 in 504ms (next.js: 20ms, generate-params: 10ms, application-code: 484ms)
 GET /staffpay?section=overview 200 in 476ms (next.js: 7ms, generate-params: 51µs, application-code: 469ms)
 GET /staffpay?section=overview 200 in 206ms (next.js: 18ms, generate-params: 148µs, application-code: 188ms)
 GET /staffpay?section=overview 200 in 1135ms (next.js: 107ms, generate-params: 53ms, application-code: 1028ms)
 GET /staffpay?section=people 200 in 785ms (next.js: 10ms, generate-params: 61µs, application-code: 775ms)
 GET /staffpay?section=people 200 in 689ms (next.js: 17ms, generate-params: 12ms, application-code: 672ms)
 GET /staffpay?section=approval 200 in 433ms (next.js: 18ms, generate-params: 13ms, application-code: 416ms)
 GET /staffpay?section=approval 200 in 336ms (next.js: 11ms, generate-params: 33µs, application-code: 325ms)
 GET /staffpay?section=export 200 in 344ms (next.js: 24ms, generate-params: 14ms, application-code: 320ms)
 GET /staffpay?section=export 200 in 300ms (next.js: 9ms, generate-params: 54µs, application-code: 291ms)
 GET /staffpay?section=reconciliation 200 in 498ms (next.js: 23ms, generate-params: 16ms, application-code: 475ms)
 GET /staffpay?section=reconciliation 200 in 1174ms (next.js: 8ms, generate-params: 57µs, application-code: 1166ms)
 GET /staffpay?section=adjustments 200 in 1081ms (next.js: 30ms, generate-params: 18ms, application-code: 1050ms)
 GET /staffpay?section=adjustments 200 in 340ms (next.js: 11ms, generate-params: 61µs, application-code: 329ms)
 GET /dashboard 200 in 1012ms (next.js: 27ms, generate-params: 16ms, application-code: 985ms)
 GET /dashboard 200 in 1163ms (next.js: 12ms, generate-params: 90µs, application-code: 1151ms)
 GET /action-inbox 200 in 383ms (next.js: 32ms, generate-params: 20ms, application-code: 351ms)
 GET /action-inbox 200 in 454ms (next.js: 24ms, generate-params: 16ms, application-code: 430ms)
 GET /settings 200 in 406ms (next.js: 24ms, generate-params: 16ms, application-code: 381ms)
 GET /settings 200 in 459ms (next.js: 12ms, generate-params: 399µs, application-code: 447ms)
 GET /settings 200 in 875ms (next.js: 6ms, generate-params: 78µs, application-code: 868ms)
 GET /staff-doctors 200 in 299ms (next.js: 26ms, generate-params: 16ms, application-code: 273ms)
 GET /staff-doctors 200 in 423ms (next.js: 28ms, generate-params: 18ms, application-code: 395ms)
 GET /staff-doctors?section=people 200 in 221ms (next.js: 8ms, generate-params: 61µs, application-code: 214ms)
 GET /staff-doctors?section=people 200 in 368ms (next.js: 26ms, generate-params: 17ms, application-code: 341ms)
 GET /staff-doctors?section=credentials 200 in 1225ms (next.js: 11ms, generate-params: 59µs, application-code: 1214ms)
 GET /staff-doctors?section=credentials 200 in 1025ms (next.js: 29ms, generate-params: 17ms, application-code: 996ms)
 GET /roster 200 in 468ms (next.js: 29ms, generate-params: 17ms, application-code: 440ms)
 GET /roster 200 in 240ms (next.js: 6ms, generate-params: 36µs, application-code: 234ms)
 GET /roster?section=coverage 200 in 1093ms (next.js: 31ms, generate-params: 18ms, application-code: 1062ms)
 GET /roster?section=coverage 200 in 377ms (next.js: 18ms, generate-params: 13ms, application-code: 359ms)
 GET /roster?section=open-shifts 200 in 1299ms (next.js: 10ms, generate-params: 160µs, application-code: 1289ms)
 GET /roster?section=open-shifts 200 in 593ms (next.js: 23ms, generate-params: 13ms, application-code: 570ms)
 GET /time-attendance 200 in 522ms (next.js: 26ms, generate-params: 18ms, application-code: 497ms)
 GET /time-attendance 200 in 855ms (next.js: 8ms, generate-params: 99µs, application-code: 847ms)
 GET /time-attendance?section=timesheets 200 in 332ms (next.js: 26ms, generate-params: 17ms, application-code: 306ms)
 GET /time-attendance?section=timesheets 200 in 525ms (next.js: 9ms, generate-params: 40µs, application-code: 516ms)
 GET /time-attendance?section=approvals 200 in 336ms (next.js: 20ms, generate-params: 13ms, application-code: 315ms)
 GET /time-attendance?section=approvals 200 in 844ms (next.js: 9ms, generate-params: 67µs, application-code: 835ms)
 GET /staffpay?section=overview 200 in 283ms (next.js: 26ms, generate-params: 17ms, application-code: 257ms)
 GET /staffpay?section=overview 200 in 86ms (next.js: 15ms, generate-params: 62µs, application-code: 71ms)
 GET /staffpay?section=overview 200 in 433ms (next.js: 12ms, generate-params: 46µs, application-code: 421ms)
 GET /staffpay?section=people 200 in 662ms (next.js: 28ms, generate-params: 15ms, application-code: 634ms)
 GET /staffpay?section=people 200 in 1413ms (next.js: 13ms, generate-params: 69µs, application-code: 1400ms)
 GET /staffpay?section=approval 200 in 804ms (next.js: 24ms, generate-params: 17ms, application-code: 781ms)
 GET /staffpay?section=approval 200 in 850ms (next.js: 13ms, generate-params: 104µs, application-code: 838ms)
 GET /staffpay?section=export 200 in 512ms (next.js: 24ms, generate-params: 15ms, application-code: 488ms)
 GET /staffpay?section=export 200 in 805ms (next.js: 6ms, generate-params: 52µs, application-code: 799ms)
 GET /staffpay?section=reconciliation 200 in 751ms (next.js: 30ms, generate-params: 19ms, application-code: 721ms)
 GET /staffpay?section=reconciliation 200 in 343ms (next.js: 6ms, generate-params: 40µs, application-code: 337ms)
 GET /staffpay?section=reconciliation 200 in 556ms (next.js: 20ms, generate-params: 14ms, application-code: 536ms)
 GET /staffpay?section=adjustments 200 in 387ms (next.js: 5ms, generate-params: 44µs, application-code: 382ms)
 GET /staffpay?section=adjustments 200 in 432ms (next.js: 33ms, generate-params: 49µs, application-code: 399ms)
 GET /staffpay?section=adjustments 200 in 1646ms (next.js: 39ms, generate-params: 92µs, application-code: 1606ms)
 GET /dashboard 200 in 1432ms (next.js: 27ms, generate-params: 17ms, application-code: 1405ms)
 GET /dashboard 200 in 883ms (next.js: 40ms, generate-params: 27ms, application-code: 843ms)
